1 Ik vind aardappels een lekkere groente,1 Aardappels moet je koken in water,2 Ik heb plezier tijdens het koken van aardappels,2 Als ik plezier had tijdens het koken smaken aardappels lekkerder,3 Het afgieten van het water is lastig,3 Soms brand ik mijn handen aan het water dat in de theedoek terecht komt,3 Mijn handen laten de pan dan los en deze valt dan in de gootsteen,3 De volgende keer gebeurt me dit niet nogeens,3 Mentaal zie ik op tegen het afgieten van aardappels
Neutraal,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Mee eens
Niet mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens
Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen
Overgeslagen,Overgeslagen,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens
Mee eens,Mee eens,Helemaal mee eens,Helemaal niet mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens
Overgeslagen,Overgeslagen,Helemaal mee eens,Helemaal mee eens,Neutraal,Neutraal,Helemaal mee eens,Mee eens,Helemaal mee eens
Niet mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Helemaal mee eens,Neutraal,Mee eens,Mee eens,Helemaal mee eens
Mee eens,Mee eens,Neutraal,Mee eens,Niet mee eens,Neutraal,Mee eens,Niet mee eens,Mee eens
Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens
Overgeslagen,Overgeslagen,Helemaal niet mee eens,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen,Overgeslagen
Mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens
Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Helemaal mee eens,Mee eens,Neutraal,Helemaal mee eens
Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens
Helemaal mee eens,Helemaal mee eens,Mee eens,Helemaal mee eens,Mee eens,Mee eens,Mee eens,Mee eens,Helemaal mee eens
Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens
